target,const,pass_index,start,end,peak_time,peak_el,sample_count
STARLINK-11076 [DTC],STARLINK,5,19:52,19:52,19:52,8.75,5
STARLINK-11077 [DTC],STARLINK,1,18:42,18:42,18:42,15.23,5
STARLINK-11077 [DTC],STARLINK,2,18:44,18:44,18:44,21.82,5
STARLINK-11077 [DTC],STARLINK,3,18:46,18:46,18:46,9.97,5
STARLINK-11077 [DTC],STARLINK,4,20:18,20:18,20:18,7.3,5
STARLINK-11077 [DTC],STARLINK,5,20:20,20:20,20:20,6.27,5
STARLINK-11078 [DTC],STARLINK,1,18:06,18:06,18:06,6.08,5
STARLINK-11078 [DTC],STARLINK,2,18:08,18:08,18:08,5.62,5
STARLINK-11078 [DTC],STARLINK,3,19:40,19:40,19:40,13.3,5
STARLINK-11078 [DTC],STARLINK,4,19:42,19:42,19:42,27.62,5
STARLINK-11078 [DTC],STARLINK,5,19:44,19:44,19:44,14.82,5
STARLINK-11079 [DTC],STARLINK,1,18:20,18:20,18:20,8.51,6
STARLINK-11079 [DTC],STARLINK,2,18:22,18:22,18:22,10.89,6
STARLINK-11079 [DTC],STARLINK,3,18:24,18:24,18:24,5.5,6
STARLINK-11079 [DTC],STARLINK,4,19:54,19:54,19:54,6.77,6
STARLINK-11079 [DTC],STARLINK,5,19:56,19:56,19:56,15.55,6
STARLINK-11079 [DTC],STARLINK,6,19:58,19:58,19:58,13.42,6
STARLINK-11080 [DTC],STARLINK,1,21:02,21:02,21:02,7.98,3
STARLINK-11080 [DTC],STARLINK,2,21:04,21:04,21:04,17.63,3
STARLINK-11080 [DTC],STARLINK,3,21:06,21:06,21:06,14.0,3
STARLINK-11081 [DTC],STARLINK,1,19:00,19:00,19:00,12.95,5
STARLINK-11081 [DTC],STARLINK,2,19:02,19:02,19:02,12.97,5
STARLINK-11081 [DTC],STARLINK,3,20:34,20:34,20:34,7.3,5
STARLINK-11081 [DTC],STARLINK,4,20:36,20:36,20:36,12.58,5
STARLINK-11081 [DTC],STARLINK,5,20:38,20:38,20:38,8.54,5
STARLINK-11083 [DTC],STARLINK,1,20:10,20:10,20:10,17.04,3
STARLINK-11083 [DTC],STARLINK,2,20:12,20:12,20:12,75.7,3
STARLINK-11083 [DTC],STARLINK,3,20:14,20:14,20:14,20.42,3
STARLINK-11084 [DTC],STARLINK,1,22:00,22:00,22:00,12.87,1
STARLINK-11085 [DTC],STARLINK,1,19:48,19:48,19:48,13.56,4
STARLINK-11085 [DTC],STARLINK,2,19:50,19:50,19:50,30.34,4
STARLINK-11085 [DTC],STARLINK,3,19:52,19:52,19:52,15.99,4
STARLINK-11085 [DTC],STARLINK,4,21:26,21:26,21:26,5.68,4
STARLINK-11086 [DTC],STARLINK,1,18:00,18:00,18:00,11.3,5
STARLINK-11086 [DTC],STARLINK,2,18:02,18:02,18:02,15.27,5
STARLINK-11086 [DTC],STARLINK,3,18:04,18:04,18:04,7.81,5
STARLINK-11086 [DTC],STARLINK,4,19:36,19:36,19:36,11.11,5
STARLINK-11086 [DTC],STARLINK,5,19:38,19:38,19:38,9.84,5
STARLINK-11087 [DTC],STARLINK,1,20:16,20:16,20:16,7.06,4
STARLINK-11087 [DTC],STARLINK,2,20:18,20:18,20:18,27.21,4
STARLINK-11087 [DTC],STARLINK,3,20:20,20:20,20:20,52.14,4
STARLINK-11087 [DTC],STARLINK,4,20:22,20:22,20:22,12.84,4
STARLINK-11089 [DTC],STARLINK,1,20:24,20:24,20:24,11.05,4
STARLINK-11089 [DTC],STARLINK,2,20:26,20:26,20:26,39.06,4
STARLINK-11089 [DTC],STARLINK,3,20:28,20:28,20:28,28.42,4
STARLINK-11089 [DTC],STARLINK,4,20:30,20:30,20:30,7.82,4
STARLINK-11090 [DTC],STARLINK,1,19:54,19:54,19:54,6.33,4
STARLINK-11090 [DTC],STARLINK,2,19:56,19:56,19:56,22.7,4
STARLINK-11090 [DTC],STARLINK,3,19:58,19:58,19:58,36.09,4
STARLINK-11090 [DTC],STARLINK,4,20:00,20:00,20:00,11.86,4
STARLINK-11093 [DTC],STARLINK,1,20:02,20:02,20:02,10.95,4
STARLINK-11093 [DTC],STARLINK,2,20:04,20:04,20:04,39.55,4
STARLINK-11093 [DTC],STARLINK,3,20:06,20:06,20:06,29.61,4
STARLINK-11093 [DTC],STARLINK,4,20:08,20:08,20:08,8.08,4
STARLINK-11095 [DTC],STARLINK,1,21:46,21:46,21:46,10.36,2
STARLINK-11095 [DTC],STARLINK,2,21:48,21:48,21:48,9.83,2
STARLINK-11096 [DTC],STARLINK,1,21:32,21:32,21:32,5.94,1
STARLINK-11103 [DTC],STARLINK,1,21:52,21:52,21:52,8.08,3
STARLINK-11103 [DTC],STARLINK,2,21:54,21:54,21:54,14.25,3
STARLINK-11103 [DTC],STARLINK,3,21:56,21:56,21:56,9.66,3
STARLINK-11107 [DTC],STARLINK,1,21:38,21:38,21:38,6.77,2
STARLINK-11107 [DTC],STARLINK,2,21:40,21:40,21:40,8.63,2
STARLINK-11113 [DTC],STARLINK,1,18:00,18:00,18:00,21.66,2
STARLINK-11113 [DTC],STARLINK,2,18:02,18:02,18:02,5.6,2
STARLINK-11116 [DTC],STARLINK,1,19:20,19:20,19:20,10.33,3
STARLINK-11116 [DTC],STARLINK,2,19:22,19:22,19:22,19.16,3
STARLINK-11116 [DTC],STARLINK,3,19:24,19:24,19:24,12.07,3
STARLINK-11120 [DTC],STARLINK,1,18:06,18:06,18:06,6.6,7
STARLINK-11120 [DTC],STARLINK,2,18:08,18:08,18:08,17.08,7
STARLINK-11120 [DTC],STARLINK,3,18:10,18:10,18:10,16.61,7
STARLINK-11120 [DTC],STARLINK,4,18:12,18:12,18:12,6.16,7
STARLINK-11120 [DTC],STARLINK,5,19:42,19:42,19:42,5.51,7
STARLINK-11120 [DTC],STARLINK,6,19:44,19:44,19:44,9.11,7
STARLINK-11120 [DTC],STARLINK,7,19:46,19:46,19:46,5.9,7
STARLINK-11122 [DTC],STARLINK,1,18:22,18:22,18:22,18.52,3
STARLINK-11122 [DTC],STARLINK,2,18:24,18:24,18:24,31.26,3
STARLINK-11122 [DTC],STARLINK,3,18:26,18:26,18:26,12.32,3
STARLINK-11124 [DTC],STARLINK,1,18:48,18:48,18:48,5.55,2
STARLINK-11124 [DTC],STARLINK,2,18:50,18:50,18:50,7.33,2
STARLINK-11129 [DTC],STARLINK,1,18:36,18:36,18:36,15.37,4
STARLINK-11129 [DTC],STARLINK,2,18:38,18:38,18:38,56.89,4
STARLINK-11129 [DTC],STARLINK,3,18:40,18:40,18:40,21.34,4
STARLINK-11129 [DTC],STARLINK,4,18:42,18:42,18:42,5.23,4
STARLINK-11133 [DTC],STARLINK,1,18:26,18:26,18:26,11.52,3
STARLINK-11133 [DTC],STARLINK,2,18:28,18:28,18:28,15.97,3
STARLINK-11133 [DTC],STARLINK,3,18:30,18:30,18:30,8.18,3
STARLINK-11134 [DTC],STARLINK,1,18:10,18:10,18:10,7.6,4
STARLINK-11134 [DTC],STARLINK,2,18:12,18:12,18:12,21.78,4
STARLINK-11134 [DTC],STARLINK,3,18:14,18:14,18:14,21.78,4
STARLINK-11134 [DTC],STARLINK,4,18:16,18:16,18:16,7.62,4
STARLINK-11135 [DTC],STARLINK,1,18:42,18:42,18:42,6.25,4
STARLINK-11135 [DTC],STARLINK,2,18:44,18:44,18:44,24.81,4
STARLINK-11135 [DTC],STARLINK,3,18:46,18:46,18:46,61.5,4
STARLINK-11135 [DTC],STARLINK,4,18:48,18:48,18:48,14.22,4
STARLINK-11136 [DTC],STARLINK,1,18:46,18:46,18:46,8.7,5
STARLINK-11136 [DTC],STARLINK,2,18:48,18:48,18:48,6.58,5
STARLINK-11136 [DTC],STARLINK,3,20:20,20:20,20:20,14.3,5
STARLINK-11136 [DTC],STARLINK,4,20:22,20:22,20:22,19.3,5
STARLINK-11136 [DTC],STARLINK,5,20:24,20:24,20:24,8.96,5
STARLINK-11137 [DTC],STARLINK,1,18:50,18:50,18:50,10.28,4
STARLINK-11137 [DTC],STARLINK,2,18:52,18:52,18:52,38.03,4
STARLINK-11137 [DTC],STARLINK,3,18:54,18:54,18:54,32.31,4
STARLINK-11137 [DTC],STARLINK,4,18:56,18:56,18:56,8.76,4
STARLINK-11138 [DTC],STARLINK,1,18:40,18:40,18:40,5.52,3
STARLINK-11138 [DTC],STARLINK,2,18:42,18:42,18:42,9.84,3
STARLINK-11138 [DTC],STARLINK,3,18:44,18:44,18:44,6.9,3
STARLINK-11139 [DTC],STARLINK,1,19:20,19:20,19:20,9.32,4
STARLINK-11139 [DTC],STARLINK,2,19:22,19:22,19:22,28.21,4
STARLINK-11139 [DTC],STARLINK,3,19:24,19:24,19:24,24.84,4
STARLINK-11139 [DTC],STARLINK,4,19:26,19:26,19:26,7.69,4
STARLINK-11140 [DTC],STARLINK,1,18:28,18:28,18:28,9.11,4
STARLINK-11140 [DTC],STARLINK,2,18:30,18:30,18:30,30.54,4
STARLINK-11140 [DTC],STARLINK,3,18:32,18:32,18:32,29.89,4
STARLINK-11140 [DTC],STARLINK,4,18:34,18:34,18:34,8.89,4
STARLINK-11142 [DTC],STARLINK,1,18:04,18:04,18:04,18.51,3
STARLINK-11142 [DTC],STARLINK,2,18:06,18:06,18:06,34.44,3
STARLINK-11142 [DTC],STARLINK,3,18:08,18:08,18:08,13.3,3
STARLINK-11144 [DTC],STARLINK,1,18:18,18:18,18:18,10.08,3
STARLINK-11144 [DTC],STARLINK,2,18:20,18:20,18:20,20.47,3
STARLINK-11144 [DTC],STARLINK,3,18:22,18:22,18:22,13.62,3
STARLINK-11146 [DTC],STARLINK,1,20:48,20:48,20:48,7.33,3
STARLINK-11146 [DTC],STARLINK,2,20:50,20:50,20:50,11.45,3
STARLINK-11146 [DTC],STARLINK,3,20:52,20:52,20:52,7.08,3
STARLINK-11148 [DTC],STARLINK,1,19:28,19:28,19:28,11.54,3
STARLINK-11148 [DTC],STARLINK,2,19:30,19:30,19:30,14.53,3
STARLINK-11148 [DTC],STARLINK,3,19:32,19:32,19:32,6.99,3
STARLINK-11149 [DTC],STARLINK,1,18:14,18:14,18:14,11.4,5
STARLINK-11149 [DTC],STARLINK,2,18:16,18:16,18:16,24.6,5
STARLINK-11149 [DTC],STARLINK,3,18:18,18:18,18:18,15.37,5
STARLINK-11149 [DTC],STARLINK,4,19:50,19:50,19:50,5.37,5
STARLINK-11149 [DTC],STARLINK,5,19:52,19:52,19:52,6.49,5
STARLINK-11150 [DTC],STARLINK,1,18:52,18:52,18:52,8.28,6
STARLINK-11150 [DTC],STARLINK,2,18:54,18:54,18:54,11.36,6
STARLINK-11150 [DTC],STARLINK,3,18:56,18:56,18:56,6.12,6
STARLINK-11150 [DTC],STARLINK,4,20:26,20:26,20:26,6.12,6
STARLINK-11150 [DTC],STARLINK,5,20:28,20:28,20:28,14.53,6
STARLINK-11150 [DTC],STARLINK,6,20:30,20:30,20:30,13.23,6
STARLINK-11151 [DTC],STARLINK,1,18:58,18:58,18:58,15.14,3
STARLINK-11151 [DTC],STARLINK,2,19:00,19:00,19:00,42.98,3
STARLINK-11151 [DTC],STARLINK,3,19:02,19:02,19:02,18.8,3
STARLINK-11154 [DTC],STARLINK,1,21:48,21:48,21:48,9.5,4
STARLINK-11154 [DTC],STARLINK,2,21:50,21:50,21:50,35.46,4
STARLINK-11154 [DTC],STARLINK,3,21:52,21:52,21:52,35.8,4
STARLINK-11154 [DTC],STARLINK,4,21:54,21:54,21:54,9.61,4
STARLINK-11155 [DTC],STARLINK,1,19:12,19:12,19:12,8.15,4
STARLINK-11155 [DTC],STARLINK,2,19:14,19:14,19:14,21.53,4
STARLINK-11155 [DTC],STARLINK,3,19:16,19:16,19:16,19.21,4
STARLINK-11155 [DTC],STARLINK,4,19:18,19:18,19:18,6.49,4
STARLINK-11156 [DTC],STARLINK,1,20:34,20:34,20:34,6.15,2
STARLINK-11156 [DTC],STARLINK,2,20:36,20:36,20:36,6.55,2
STARLINK-11158 [DTC],STARLINK,1,19:14,19:14,19:14,15.61,5
STARLINK-11158 [DTC],STARLINK,2,19:16,19:16,19:16,23.49,5
STARLINK-11158 [DTC],STARLINK,3,19:18,19:18,19:18,10.66,5
STARLINK-11158 [DTC],STARLINK,4,20:50,20:50,20:50,7.04,5
STARLINK-11158 [DTC],STARLINK,5,20:52,20:52,20:52,6.61,5
STARLINK-11159 [DTC],STARLINK,1,21:58,21:58,21:58,12.83,2
STARLINK-11159 [DTC],STARLINK,2,22:00,22:00,22:00,13.62,2
STARLINK-11163 [DTC],STARLINK,1,19:04,19:04,19:04,5.59,4
STARLINK-11163 [DTC],STARLINK,2,19:06,19:06,19:06,19.73,4
STARLINK-11163 [DTC],STARLINK,3,19:08,19:08,19:08,30.09,4
STARLINK-11163 [DTC],STARLINK,4,19:10,19:10,19:10,11.37,4
STARLINK-11174 [DTC],STARLINK,1,19:56,19:56,19:56,6.29,4
STARLINK-11174 [DTC],STARLINK,2,19:58,19:58,19:58,23.13,4
STARLINK-11174 [DTC],STARLINK,3,20:00,20:00,20:00,39.62,4
STARLINK-11174 [DTC],STARLINK,4,20:02,20:02,20:02,12.42,4
STARLINK-11182 [DTC],STARLINK,1,19:42,19:42,19:42,10.97,4
STARLINK-11182 [DTC],STARLINK,2,19:44,19:44,19:44,43.44,4
STARLINK-11182 [DTC],STARLINK,3,19:46,19:46,19:46,33.07,4
STARLINK-11182 [DTC],STARLINK,4,19:48,19:48,19:48,8.6,4
STARLINK-11188 [DTC],STARLINK,1,21:38,21:38,21:38,8.59,4
STARLINK-11188 [DTC],STARLINK,2,21:40,21:40,21:40,32.85,4
STARLINK-11188 [DTC],STARLINK,3,21:42,21:42,21:42,43.22,4
STARLINK-11188 [DTC],STARLINK,4,21:44,21:44,21:44,10.93,4
STARLINK-11191 [DTC],STARLINK,1,19:50,19:50,19:50,16.45,3
STARLINK-11191 [DTC],STARLINK,2,19:52,19:52,19:52,60.93,3
STARLINK-11191 [DTC],STARLINK,3,19:54,19:54,19:54,20.16,3
STARLINK-11196 [DTC],STARLINK,1,18:38,18:38,18:38,5.79,5
STARLINK-11196 [DTC],STARLINK,2,18:40,18:40,18:40,5.85,5
STARLINK-11196 [DTC],STARLINK,3,20:12,20:12,20:12,12.73,5
STARLINK-11196 [DTC],STARLINK,4,20:14,20:14,20:14,25.63,5
STARLINK-11196 [DTC],STARLINK,5,20:16,20:16,20:16,14.3,5
STARLINK-11199 [DTC],STARLINK,1,19:06,19:06,19:06,9.31,5
STARLINK-11199 [DTC],STARLINK,2,19:08,19:08,19:08,18.5,5
STARLINK-11199 [DTC],STARLINK,3,19:10,19:10,19:10,12.8,5
STARLINK-11199 [DTC],STARLINK,4,20:42,20:42,20:42,7.58,5
STARLINK-11199 [DTC],STARLINK,5,20:44,20:44,20:44,9.7,5
STARLINK-1122,STARLINK,1,21:00,21:00,21:00,8.87,2
STARLINK-1122,STARLINK,2,21:02,21:02,21:02,8.62,2
STARLINK-11226 [DTC],STARLINK,1,21:44,21:44,21:44,8.87,2
STARLINK-11226 [DTC],STARLINK,2,21:46,21:46,21:46,7.0,2
STARLINK-11228 [DTC],STARLINK,1,20:04,20:04,20:04,9.79,4
STARLINK-11228 [DTC],STARLINK,2,20:06,20:06,20:06,28.34,4
STARLINK-11228 [DTC],STARLINK,3,20:08,20:08,20:08,22.96,4
STARLINK-11228 [DTC],STARLINK,4,20:10,20:10,20:10,7.05,4
STARLINK-11229 [DTC],STARLINK,1,21:36,21:36,21:36,5.78,2
STARLINK-11229 [DTC],STARLINK,2,21:38,21:38,21:38,6.26,2
STARLINK-11230 [DTC],STARLINK,1,20:58,20:58,20:58,11.1,3
STARLINK-11230 [DTC],STARLINK,2,21:00,21:00,21:00,16.42,3
STARLINK-11230 [DTC],STARLINK,3,21:02,21:02,21:02,8.92,3
STARLINK-11231 [DTC],STARLINK,1,20:30,20:30,20:30,5.16,1
STARLINK-11232 [DTC],STARLINK,1,19:28,19:28,19:28,15.16,3
STARLINK-11232 [DTC],STARLINK,2,19:30,19:30,19:30,46.83,3
STARLINK-11232 [DTC],STARLINK,3,19:32,19:32,19:32,19.76,3
STARLINK-11233 [DTC],STARLINK,1,21:34,21:34,21:34,14.5,4
STARLINK-11233 [DTC],STARLINK,2,21:36,21:36,21:36,57.22,4
STARLINK-11233 [DTC],STARLINK,3,21:38,21:38,21:38,23.3,4
STARLINK-11233 [DTC],STARLINK,4,21:40,21:40,21:40,5.88,4
STARLINK-11234 [DTC],STARLINK,1,19:34,19:34,19:34,6.65,4
STARLINK-11234 [DTC],STARLINK,2,19:36,19:36,19:36,25.66,4
STARLINK-11234 [DTC],STARLINK,3,19:38,19:38,19:38,52.34,4
STARLINK-11234 [DTC],STARLINK,4,19:40,19:40,19:40,13.25,4
STARLINK-11235 [DTC],STARLINK,1,21:10,21:10,21:10,13.51,3
STARLINK-11235 [DTC],STARLINK,2,21:12,21:12,21:12,23.87,3
STARLINK-11235 [DTC],STARLINK,3,21:14,21:14,21:14,12.35,3
STARLINK-11236 [DTC],STARLINK,1,21:26,21:26,21:26,8.73,4
STARLINK-11236 [DTC],STARLINK,2,21:28,21:28,21:28,30.28,4
STARLINK-11236 [DTC],STARLINK,3,21:30,21:30,21:30,32.73,4
STARLINK-11236 [DTC],STARLINK,4,21:32,21:32,21:32,9.56,4
STARLINK-11247 [DTC],STARLINK,1,21:54,21:54,21:54,19.84,3
STARLINK-11247 [DTC],STARLINK,2,21:56,21:56,21:56,50.67,3
STARLINK-11247 [DTC],STARLINK,3,21:58,21:58,21:58,15.66,3
STARLINK-11249 [DTC],STARLINK,1,20:56,20:56,20:56,11.91,3
STARLINK-11249 [DTC],STARLINK,2,20:58,20:58,20:58,13.65,3
STARLINK-11249 [DTC],STARLINK,3,21:00,21:00,21:00,6.01,3
STARLINK-11252 [DTC],STARLINK,1,21:12,21:12,21:12,11.22,3
STARLINK-11252 [DTC],STARLINK,2,21:14,21:14,21:14,25.8,3
STARLINK-11252 [DTC],STARLINK,3,21:16,21:16,21:16,16.6,3
STARLINK-11254 [DTC],STARLINK,1,20:34,20:34,20:34,5.24,2
STARLINK-11254 [DTC],STARLINK,2,20:36,20:36,20:36,6.15,2
STARLINK-11255 [DTC],STARLINK,1,20:42,20:42,20:42,8.36,2
STARLINK-11255 [DTC],STARLINK,2,20:44,20:44,20:44,7.09,2
STARLINK-11259 [DTC],STARLINK,1,21:46,21:46,21:46,13.59,4
STARLINK-11259 [DTC],STARLINK,2,21:48,21:48,21:48,55.53,4
STARLINK-11259 [DTC],STARLINK,3,21:50,21:50,21:50,25.45,4
STARLINK-11259 [DTC],STARLINK,4,21:52,21:52,21:52,6.51,4
STARLINK-11260 [DTC],STARLINK,1,19:16,19:16,19:16,7.92,2
STARLINK-11260 [DTC],STARLINK,2,19:18,19:18,19:18,7.4,2
STARLINK-11261 [DTC],STARLINK,1,21:32,21:32,21:32,19.76,3
STARLINK-11261 [DTC],STARLINK,2,21:34,21:34,21:34,56.94,3
STARLINK-11261 [DTC],STARLINK,3,21:36,21:36,21:36,16.37,3
STARLINK-11263 [DTC],STARLINK,1,21:16,21:16,21:16,6.92,4
STARLINK-11263 [DTC],STARLINK,2,21:18,21:18,21:18,22.06,4
STARLINK-11263 [DTC],STARLINK,3,21:20,21:20,21:20,26.59,4
STARLINK-11263 [DTC],STARLINK,4,21:22,21:22,21:22,9.41,4
STARLINK-11264 [DTC],STARLINK,1,21:50,21:50,21:50,8.17,3
STARLINK-11264 [DTC],STARLINK,2,21:52,21:52,21:52,11.8,3
STARLINK-11264 [DTC],STARLINK,3,21:54,21:54,21:54,6.73,3
STARLINK-11266 [DTC],STARLINK,1,22:00,22:00,22:00,7.95,1
STARLINK-11267 [DTC],STARLINK,1,19:30,19:30,19:30,10.72,4
STARLINK-11267 [DTC],STARLINK,2,19:32,19:32,19:32,36.79,4
STARLINK-11267 [DTC],STARLINK,3,19:34,19:34,19:34,28.02,4
STARLINK-11267 [DTC],STARLINK,4,19:36,19:36,19:36,7.87,4
STARLINK-11268 [DTC],STARLINK,1,20:44,20:44,20:44,9.13,2
STARLINK-11268 [DTC],STARLINK,2,20:46,20:46,20:46,9.3,2
STARLINK-11269 [DTC],STARLINK,1,19:22,19:22,19:22,6.09,4
STARLINK-11269 [DTC],STARLINK,2,19:24,19:24,19:24,21.46,4
STARLINK-11269 [DTC],STARLINK,3,19:26,19:26,19:26,32.8,4
STARLINK-11269 [DTC],STARLINK,4,19:28,19:28,19:28,11.54,4
STARLINK-11270 [DTC],STARLINK,1,19:02,19:02,19:02,13.8,6
STARLINK-11270 [DTC],STARLINK,2,19:04,19:04,19:04,15.42,6
STARLINK-11270 [DTC],STARLINK,3,19:06,19:06,19:06,6.53,6
STARLINK-11270 [DTC],STARLINK,4,20:36,20:36,20:36,5.74,6
STARLINK-11270 [DTC],STARLINK,5,20:38,20:38,20:38,10.65,6
STARLINK-11270 [DTC],STARLINK,6,20:40,20:40,20:40,7.75,6
STARLINK-11272 [DTC],STARLINK,1,21:24,21:24,21:24,12.16,4
STARLINK-11272 [DTC],STARLINK,2,21:26,21:26,21:26,37.2,4
STARLINK-11272 [DTC],STARLINK,3,21:28,21:28,21:28,22.57,4
STARLINK-11272 [DTC],STARLINK,4,21:30,21:30,21:30,6.19,4
STARLINK-11274 [DTC],STARLINK,1,18:40,18:40,18:40,6.58,6
STARLINK-11274 [DTC],STARLINK,2,18:42,18:42,18:42,7.96,6
STARLINK-11274 [DTC],STARLINK,3,20:14,20:14,20:14,8.71,6
STARLINK-11274 [DTC],STARLINK,4,20:16,20:16,20:16,20.78,6
STARLINK-11274 [DTC],STARLINK,5,20:18,20:18,20:18,16.56,6
STARLINK-11274 [DTC],STARLINK,6,20:20,20:20,20:20,5.24,6
STARLINK-11275 [DTC],STARLINK,1,20:32,20:32,20:32,12.93,4
STARLINK-11275 [DTC],STARLINK,2,20:34,20:34,20:34,49.15,4
STARLINK-11275 [DTC],STARLINK,3,20:36,20:36,20:36,25.79,4
STARLINK-11275 [DTC],STARLINK,4,20:38,20:38,20:38,6.76,4
STARLINK-11281 [DTC],STARLINK,1,19:16,19:16,19:16,13.41,5
STARLINK-11281 [DTC],STARLINK,2,19:18,19:18,19:18,27.55,5
STARLINK-11281 [DTC],STARLINK,3,19:20,19:20,19:20,14.68,5
STARLINK-11281 [DTC],STARLINK,4,20:52,20:52,20:52,5.04,5
STARLINK-11281 [DTC],STARLINK,5,20:54,20:54,20:54,5.51,5
STARLINK-11282 [DTC],STARLINK,1,18:48,18:48,18:48,9.97,5
STARLINK-11282 [DTC],STARLINK,2,18:50,18:50,18:50,8.95,5
STARLINK-11282 [DTC],STARLINK,3,20:22,20:22,20:22,10.67,5
STARLINK-11282 [DTC],STARLINK,4,20:24,20:24,20:24,17.56,5
STARLINK-11282 [DTC],STARLINK,5,20:26,20:26,20:26,10.25,5
STARLINK-11283 [DTC],STARLINK,1,19:38,19:38,19:38,17.31,3
STARLINK-11283 [DTC],STARLINK,2,19:40,19:40,19:40,68.09,3
STARLINK-11283 [DTC],STARLINK,3,19:42,19:42,19:42,19.58,3
STARLINK-11285 [DTC],STARLINK,1,20:40,20:40,20:40,20.22,3
STARLINK-11285 [DTC],STARLINK,2,20:42,20:42,20:42,80.73,3
STARLINK-11285 [DTC],STARLINK,3,20:44,20:44,20:44,17.27,3
STARLINK-11286 [DTC],STARLINK,1,21:20,21:20,21:20,18.02,3
STARLINK-11286 [DTC],STARLINK,2,21:22,21:22,21:22,34.24,3
STARLINK-11286 [DTC],STARLINK,3,21:24,21:24,21:24,13.55,3
STARLINK-11287 [DTC],STARLINK,1,19:08,19:08,19:08,7.83,6
STARLINK-11287 [DTC],STARLINK,2,19:10,19:10,19:10,19.37,6
STARLINK-11287 [DTC],STARLINK,3,19:12,19:12,19:12,16.94,6
STARLINK-11287 [DTC],STARLINK,4,19:14,19:14,19:14,5.76,6
STARLINK-11287 [DTC],STARLINK,5,20:44,20:44,20:44,5.34,6
STARLINK-11287 [DTC],STARLINK,6,20:46,20:46,20:46,8.17,6
STARLINK-11288 [DTC],STARLINK,1,18:34,18:34,18:34,6.23,5
STARLINK-11288 [DTC],STARLINK,2,20:06,20:06,20:06,5.85,5
STARLINK-11288 [DTC],STARLINK,3,20:08,20:08,20:08,19.52,5
STARLINK-11288 [DTC],STARLINK,4,20:10,20:10,20:10,26.46,5
STARLINK-11288 [DTC],STARLINK,5,20:12,20:12,20:12,10.17,5
STARLINK-11289 [DTC],STARLINK,1,20:00,20:00,20:00,16.03,3
STARLINK-11289 [DTC],STARLINK,2,20:02,20:02,20:02,38.81,3
STARLINK-11289 [DTC],STARLINK,3,20:04,20:04,20:04,16.45,3
