# # 3I/ATLAS Optical Spectroscopy - Complete Pipeline Data with Uncertainties (2" FWHM Aperture)
# # Generated: 2025-08-08 19:12:25
# # Author: Rohan Rahatgaonkar, Thomas Puzia
# # Observation Date: 2025-07-03
# # Instrument: Goodman Spectrograph
# # Telescope: SOAR 4.1m
# #
# # DATA PROCESSING PIPELINE:
# # 1. Pre-flux calibration: Extracted spectra, wavelength calibrated
# # 2. Flux calibration: Sensitivity function from CD-32 9927 (Hamuy et al.)
# # 3. Solar analog method: HIP 90136 G2V star for solar normalization  
# # 4. SOLSPEC method: Meftah et al. 2018 solar reference spectrum
# # 5. Normalization: All spectra normalized to 1.0 at 6000Å
# # 6. Smoothing: Gaussian smoothing with 5Å FWHM
# # 7. Uncertainty propagation: CCD noise propagated through entire pipeline
# #
# # COLUMNS:
# # 0  Wavelength (Å)
# # 1  Pre-calibration reflectance (solar analog method)
# # 2  Flux-calibrated comet spectrum (erg s⁻¹ cm⁻² Å⁻¹, solar analog)
# # 3  Flux-calibrated solar analog spectrum (erg s⁻¹ cm⁻² Å⁻¹)
# # 4  Reflectance spectrum (solar analog method)
# # 5  Flux-calibrated comet spectrum (erg s⁻¹ cm⁻² Å⁻¹, SOLSPEC)
# # 6  SOLSPEC interpolated flux (erg s⁻¹ cm⁻² Å⁻¹)
# # 7  Reflectance spectrum (SOLSPEC method)
# # 8  Normalized reflectance (solar analog, norm @ 6000Å)
# # 9  Normalized reflectance (SOLSPEC, norm @ 6000Å)
# # 10 Smoothed normalized reflectance (solar analog, 5Å FWHM)
# # 11 Smoothed normalized reflectance (SOLSPEC, 5Å FWHM)
# # 12 Uncertainty - normalized reflectance (solar analog)
# # 13 Uncertainty - normalized reflectance (SOLSPEC)
# # 14 Uncertainty - smoothed reflectance (solar analog, 5Å FWHM)
# # 15 Uncertainty - smoothed reflectance (SOLSPEC, 5Å FWHM)
# #
# # Wavelength_Å  Pre_Refl_SA  Flux_Comet_SA  Flux_Solar_SA  Refl_SA  Flux_Comet_SOLSPEC  SOLSPEC_Flux  Refl_SOLSPEC  Norm_Refl_SA  Norm_Refl_SOLSPEC  Smooth_Refl_SA  Smooth_Refl_SOLSPEC  Unc_Norm_SA  Unc_Norm_SOLSPEC  Unc_Smooth_SA  Unc_Smooth_SOLSPEC
3740.01  2.649684e-03  1.829110e-16  6.903123e-14  2.649684e-03  1.829110e-16  9.713652e+01  1.883030e-18  3.940600e-01  4.693274e-01  3.940600e-01  4.693274e-01  2.627751e-01  3.128548e-01  2.627751e-01  3.128548e-01
3742.01  3.736400e-03  2.510503e-16  6.719042e-14  3.736400e-03  2.510503e-16  1.083204e+02  2.317665e-18  5.556759e-01  5.776561e-01  5.556759e-01  5.776561e-01  2.756159e-01  2.863342e-01  2.756159e-01  2.863342e-01
3744.01  3.940377e-03  2.635731e-16  6.689033e-14  3.940377e-03  2.635731e-16  9.781704e+01  2.694552e-18  5.860113e-01  6.715917e-01  5.860113e-01  6.715917e-01  2.774110e-01  3.176911e-01  2.774110e-01  3.176911e-01
3746.01  3.751952e-03  2.885849e-16  7.691593e-14  3.751952e-03  2.885849e-16  8.788721e+01  3.283582e-18  5.579887e-01  8.184018e-01  5.579887e-01  8.184018e-01  2.434026e-01  3.566953e-01  2.434026e-01  3.566953e-01
3748.00  3.088217e-03  2.653531e-16  8.592436e-14  3.088217e-03  2.653531e-16  8.419771e+01  3.151548e-18  4.592784e-01  7.854935e-01  4.592784e-01  7.854935e-01  2.159951e-01  3.691472e-01  2.159951e-01  3.691472e-01
3750.00  3.679262e-03  3.189417e-16  8.668632e-14  3.679262e-03  3.189417e-16  7.698405e+01  4.142959e-18  5.471784e-01  1.032593e+00  5.471784e-01  1.032593e+00  2.185112e-01  4.119497e-01  2.185112e-01  4.119497e-01
3752.00  4.218442e-03  3.554418e-16  8.425903e-14  4.218442e-03  3.554418e-16  9.329223e+01  3.809983e-18  6.273649e-01  9.496022e-01  6.273649e-01  9.496022e-01  2.278744e-01  3.445032e-01  2.278744e-01  3.445032e-01
3753.99  3.181206e-03  2.596595e-16  8.162297e-14  3.181206e-03  2.596595e-16  1.133501e+02  2.290775e-18  4.731077e-01  5.709541e-01  4.731077e-01  5.709541e-01  2.266935e-01  2.733853e-01  2.266935e-01  2.733853e-01
3755.99  3.264758e-03  2.650178e-16  8.117532e-14  3.264758e-03  2.650178e-16  1.269749e+02  2.087168e-18  4.855335e-01  5.202068e-01  4.855335e-01  5.202068e-01  2.278026e-01  2.438932e-01  2.278026e-01  2.438932e-01
3757.99  1.859118e-03  1.572835e-16  8.460113e-14  1.859118e-03  1.572835e-16  1.208681e+02  1.301282e-18  2.764873e-01  3.243322e-01  2.764873e-01  3.243322e-01  2.083272e-01  2.443133e-01  2.083272e-01  2.443133e-01
3759.99  1.297706e-03  1.095706e-16  8.443410e-14  1.297706e-03  1.095706e-16  9.861952e+01  1.111044e-18  1.929943e-01  2.769173e-01  1.929943e-01  2.769173e-01  2.033821e-01  2.917856e-01  2.033821e-01  2.917856e-01
3761.98  2.311207e-03  1.940060e-16  8.394142e-14  2.311207e-03  1.940060e-16  1.120788e+02  1.730979e-18  3.437218e-01  4.314301e-01  3.437218e-01  4.314301e-01  2.108814e-01  2.645972e-01  2.108814e-01  2.645972e-01
3763.98  2.347920e-03  1.977509e-16  8.422386e-14  2.347920e-03  1.977509e-16  1.116720e+02  1.770820e-18  3.491817e-01  4.413601e-01  3.491817e-01  4.413601e-01  2.095330e-01  2.647462e-01  2.095330e-01  2.647462e-01
3765.98  3.168303e-03  2.814980e-16  8.884819e-14  3.168303e-03  2.814980e-16  1.123584e+02  2.505357e-18  4.711887e-01  6.244366e-01  4.711887e-01  6.244366e-01  2.044955e-01  2.708040e-01  2.044955e-01  2.708040e-01
3767.97  6.467722e-05  6.011058e-18  9.293933e-14  6.467722e-05  6.011058e-18  1.080725e+02  5.562058e-20  9.618770e-03  1.386291e-02  9.618770e-03  1.386291e-02  1.722673e-01  2.482775e-01  1.722673e-01  2.482775e-01
3769.97  2.721735e-03  2.638833e-16  9.695407e-14  2.721735e-03  2.638833e-16  1.170727e+02  2.254013e-18  4.047753e-01  5.617914e-01  4.047753e-01  5.617914e-01  1.836297e-01  2.546800e-01  1.836297e-01  2.546800e-01
3771.97  2.133912e-03  2.145099e-16  1.005242e-13  2.133912e-03  2.145099e-16  1.170422e+02  1.832757e-18  3.173545e-01  4.567973e-01  3.173545e-01  4.567973e-01  1.722406e-01  2.477991e-01  1.722406e-01  2.477991e-01
3773.97  2.083319e-03  2.106609e-16  1.011179e-13  2.083319e-03  2.106609e-16  1.319047e+02  1.597070e-18  3.098304e-01  3.980545e-01  3.098304e-01  3.980545e-01  1.696580e-01  2.178655e-01  1.696580e-01  2.178655e-01
3775.96  1.537683e-03  1.579257e-16  1.027037e-13  1.537683e-03  1.579257e-16  1.357363e+02  1.163475e-18  2.286836e-01  2.899851e-01  2.286836e-01  2.899851e-01  1.623459e-01  2.058096e-01  1.623459e-01  2.058096e-01
3777.96  1.535736e-03  1.573215e-16  1.024405e-13  1.535736e-03  1.573215e-16  1.396277e+02  1.126721e-18  2.283940e-01  2.808245e-01  2.283940e-01  2.808245e-01  1.621108e-01  1.992739e-01  1.621108e-01  1.992739e-01
3779.96  1.554903e-03  1.504467e-16  9.675636e-14  1.554903e-03  1.504467e-16  1.408090e+02  1.068445e-18  2.312445e-01  2.662999e-01  2.312445e-01  2.662999e-01  1.708963e-01  1.967566e-01  1.708963e-01  1.967566e-01
3781.95  2.508629e-03  2.289606e-16  9.126922e-14  2.508629e-03  2.289606e-16  1.485475e+02  1.541329e-18  3.730822e-01  3.841617e-01  3.730822e-01  3.841617e-01  1.875209e-01  1.929899e-01  1.875209e-01  1.929899e-01
3783.95  1.866301e-03  1.636617e-16  8.769309e-14  1.866301e-03  1.636617e-16  1.467851e+02  1.114975e-18  2.775555e-01  2.778969e-01  2.775555e-01  2.778969e-01  1.899817e-01  1.901630e-01  1.899817e-01  1.901630e-01
3785.95  3.616344e-03  3.156051e-16  8.727185e-14  3.616344e-03  3.156051e-16  1.450157e+02  2.176352e-18  5.378213e-01  5.424351e-01  5.378213e-01  5.424351e-01  2.037096e-01  2.052808e-01  2.037096e-01  2.052808e-01
3787.94  4.848674e-03  4.161007e-16  8.581741e-14  4.848674e-03  4.161007e-16  1.234168e+02  3.371507e-18  7.210928e-01  8.403163e-01  7.210928e-01  8.403163e-01  2.155888e-01  2.508935e-01  2.155888e-01  2.508935e-01
3789.94  4.997594e-03  4.188289e-16  8.380612e-14  4.997594e-03  4.188289e-16  1.162862e+02  3.601708e-18  7.432401e-01  8.976918e-01  7.432401e-01  8.976918e-01  2.214502e-01  2.670973e-01  2.214502e-01  2.670973e-01
3791.94  3.725513e-03  3.124992e-16  8.388085e-14  3.725513e-03  3.124992e-16  1.148768e+02  2.720298e-18  5.540567e-01  6.780086e-01  5.540567e-01  6.780086e-01  2.130281e-01  2.604546e-01  2.130281e-01  2.604546e-01
3793.94  1.115351e-03  9.417314e-17  8.443366e-14  1.115351e-03  9.417314e-17  1.130980e+02  8.326684e-19  1.658745e-01  2.075347e-01  1.658745e-01  2.075347e-01  1.932824e-01  2.418005e-01  1.932824e-01  2.418005e-01
3795.93  1.903193e-03  1.760462e-16  9.250045e-14  1.903193e-03  1.760462e-16  1.037785e+02  1.696365e-18  2.830421e-01  4.228028e-01  2.830421e-01  4.228028e-01  1.830585e-01  2.733527e-01  1.830585e-01  2.733527e-01
3797.93  2.049524e-03  2.004902e-16  9.782283e-14  2.049524e-03  2.004902e-16  1.038867e+02  1.929893e-18  3.048044e-01  4.810076e-01  3.048044e-01  4.810076e-01  1.744753e-01  2.752132e-01  1.744753e-01  2.752132e-01
3799.93  2.813587e-03  2.746777e-16  9.762545e-14  2.813587e-03  2.746777e-16  9.807730e+01  2.800625e-18  4.184355e-01  6.980292e-01  4.184355e-01  6.980292e-01  1.795297e-01  2.992488e-01  1.795297e-01  2.992488e-01
3801.92  2.522576e-03  2.494994e-16  9.890659e-14  2.522576e-03  2.494994e-16  1.172436e+02  2.128043e-18  3.751565e-01  5.303945e-01  3.751565e-01  5.303945e-01  1.744869e-01  2.465204e-01  1.744869e-01  2.465204e-01
3803.92  2.732183e-03  2.701637e-16  9.888201e-14  2.732183e-03  2.701637e-16  1.285481e+02  2.101655e-18  4.063292e-01  5.238176e-01  4.063292e-01  5.238176e-01  1.750787e-01  2.255289e-01  1.750787e-01  2.255289e-01
3805.92  2.392392e-03  2.350326e-16  9.824171e-14  2.392392e-03  2.350326e-16  1.330278e+02  1.766793e-18  3.557955e-01  4.403565e-01  3.557955e-01  4.403565e-01  1.726131e-01  2.135137e-01  1.726131e-01  2.135137e-01
3807.92  3.818874e-03  3.492784e-16  9.146109e-14  3.818874e-03  3.492784e-16  1.249560e+02  2.795212e-18  5.679414e-01  6.966802e-01  5.679414e-01  6.966802e-01  1.929719e-01  2.364353e-01  1.929719e-01  2.364353e-01
3809.91  2.788513e-03  2.262162e-16  8.112431e-14  2.788513e-03  2.262162e-16  1.319668e+02  1.714191e-18  4.147065e-01  4.272459e-01  4.147065e-01  4.272459e-01  2.057564e-01  2.118571e-01  2.057564e-01  2.118571e-01
3811.91  4.052697e-03  3.213860e-16  7.930178e-14  4.052697e-03  3.213860e-16  1.338461e+02  2.401160e-18  6.027154e-01  5.984665e-01  6.027154e-01  5.984665e-01  2.180785e-01  2.163094e-01  2.180785e-01  2.163094e-01
3813.91  2.796568e-03  2.196940e-16  7.855843e-14  2.796568e-03  2.196940e-16  1.195419e+02  1.837799e-18  4.159044e-01  4.580540e-01  4.159044e-01  4.580540e-01  2.102115e-01  2.313892e-01  2.102115e-01  2.313892e-01
3815.90  2.192154e-03  1.647188e-16  7.514016e-14  2.192154e-03  1.647188e-16  1.043995e+02  1.577774e-18  3.260162e-01  3.932453e-01  3.260162e-01  3.932453e-01  2.135615e-01  2.575177e-01  2.135615e-01  2.575177e-01
3817.90  1.686490e-03  1.248659e-16  7.403896e-14  1.686490e-03  1.248659e-16  1.010551e+02  1.235623e-18  2.508140e-01  3.079673e-01  2.508140e-01  3.079673e-01  2.115625e-01  2.597225e-01  2.115625e-01  2.597225e-01
3819.90  2.050186e-03  1.425147e-16  6.951305e-14  2.050186e-03  1.425147e-16  1.019382e+02  1.398050e-18  3.049028e-01  3.484509e-01  3.049028e-01  3.484509e-01  2.255167e-01  2.576625e-01  2.255167e-01  2.576625e-01
3821.90  2.148769e-03  1.364966e-16  6.352315e-14  2.148769e-03  1.364966e-16  8.229245e+01  1.658677e-18  3.195640e-01  4.134095e-01  3.195640e-01  4.134095e-01  2.439673e-01  3.155375e-01  2.439673e-01  3.155375e-01
3823.89  1.776231e-03  1.113845e-16  6.270833e-14  1.776231e-03  1.113845e-16  9.397758e+01  1.185224e-18  2.641604e-01  2.954059e-01  nan  nan  2.418035e-01  2.703613e-01  2.418035e-01  2.703613e-01
3825.89  nan  -3.800117e-17  6.068882e-14  nan  -3.800117e-17  7.702790e+01  nan  nan  nan  nan  nan  nan  nan  nan  nan
3827.89  6.488765e-04  3.768191e-17  5.807254e-14  6.488765e-04  3.768191e-17  7.107012e+01  5.302075e-19  9.650065e-02  1.321492e-01  nan  nan  2.462970e-01  3.372751e-01  2.462970e-01  3.372751e-01
3829.88  5.732751e-05  3.294023e-18  5.745973e-14  5.732751e-05  3.294023e-18  7.210195e+01  4.568563e-20  8.525724e-03  1.138671e-02  8.525724e-03  1.138671e-02  2.419233e-01  3.231058e-01  2.419233e-01  3.231058e-01
3831.88  1.571921e-03  9.275000e-17  5.900426e-14  1.571921e-03  9.275000e-17  7.549549e+01  1.228550e-18  2.337754e-01  3.062045e-01  2.337754e-01  3.062045e-01  2.454788e-01  3.214893e-01  2.454788e-01  3.214893e-01
3833.88  4.716790e-05  2.894767e-18  6.137156e-14  4.716790e-05  2.894767e-18  6.591964e+01  4.391358e-20  7.014790e-03  1.094505e-02  7.014790e-03  1.094505e-02  2.239756e-01  3.494649e-01  2.239756e-01  3.494649e-01
3835.88  1.712108e-03  1.146236e-16  6.694884e-14  1.712108e-03  1.146236e-16  6.961503e+01  1.646536e-18  2.546240e-01  4.103834e-01  2.546240e-01  4.103834e-01  2.182833e-01  3.517359e-01  2.182833e-01  3.517359e-01
3837.87  1.232090e-03  9.351966e-17  7.590326e-14  1.232090e-03  9.351966e-17  7.625988e+01  1.226328e-18  1.832359e-01  3.056508e-01  1.832359e-01  3.056508e-01  1.912035e-01  3.188967e-01  1.912035e-01  3.188967e-01
3839.87  3.069527e-03  2.567733e-16  8.365239e-14  3.069527e-03  2.567733e-16  7.193427e+01  3.569554e-18  4.564988e-01  8.896776e-01  4.564988e-01  8.896776e-01  1.888871e-01  3.678131e-01  1.888871e-01  3.678131e-01
3841.87  2.521897e-03  2.170794e-16  8.607783e-14  2.521897e-03  2.170794e-16  7.985463e+01  2.718432e-18  3.750554e-01  6.775436e-01  3.750554e-01  6.775436e-01  1.816004e-01  3.278649e-01  1.816004e-01  3.278649e-01
3843.86  2.198252e-03  1.904593e-16  8.664124e-14  2.198252e-03  1.904593e-16  1.033122e+02  1.843531e-18  3.269231e-01  4.594828e-01  3.269231e-01  4.594828e-01  1.792182e-01  2.517684e-01  1.792182e-01  2.517684e-01
3845.86  1.284377e-03  1.134723e-16  8.834812e-14  1.284377e-03  1.134723e-16  1.122112e+02  1.011239e-18  1.910120e-01  2.520417e-01  1.910120e-01  2.520417e-01  1.696813e-01  2.238559e-01  1.696813e-01  2.238559e-01
3847.86  2.011777e-03  1.761145e-16  8.754177e-14  2.011777e-03  1.761145e-16  1.143836e+02  1.539683e-18  2.991907e-01  3.837515e-01  2.991907e-01  3.837515e-01  1.762672e-01  2.259962e-01  1.762672e-01  2.259962e-01
3849.86  2.801839e-03  2.443310e-16  8.720378e-14  2.801839e-03  2.443310e-16  1.168167e+02  2.091576e-18  4.166884e-01  5.213055e-01  4.166884e-01  5.213055e-01  1.819541e-01  2.274748e-01  1.819541e-01  2.274748e-01
3851.85  3.229534e-03  2.647566e-16  8.197981e-14  3.229534e-03  2.647566e-16  1.088019e+02  2.433382e-18  4.802950e-01  6.064976e-01  4.802950e-01  6.064976e-01  1.944697e-01  2.453644e-01  1.944697e-01  2.453644e-01
3853.85  5.347722e-03  4.324912e-16  8.087391e-14  5.347722e-03  4.324912e-16  1.137312e+02  3.802747e-18  7.953110e-01  9.477989e-01  7.953110e-01  9.477989e-01  2.101092e-01  2.499036e-01  2.101092e-01  2.499036e-01
3855.85  4.924020e-03  3.950238e-16  8.022384e-14  4.924020e-03  3.950238e-16  1.054578e+02  3.745799e-18  7.322983e-01  9.336050e-01  7.322983e-01  9.336050e-01  2.072745e-01  2.638098e-01  2.072745e-01  2.638098e-01
3857.84  4.391701e-03  3.916093e-16  8.917032e-14  4.391701e-03  3.916093e-16  9.965517e+01  3.929644e-18  6.531319e-01  9.794266e-01  6.531319e-01  9.794266e-01  1.848407e-01  2.767497e-01  1.848407e-01  2.767497e-01
3859.84  2.660336e-03  2.398432e-16  9.015523e-14  2.660336e-03  2.398432e-16  9.092908e+01  2.637696e-18  3.956441e-01  6.574207e-01  3.956441e-01  6.574207e-01  1.698964e-01  2.821204e-01  1.698964e-01  2.821204e-01
3861.84  3.025345e-03  2.704503e-16  8.939485e-14  3.025345e-03  2.704503e-16  9.008150e+01  3.002284e-18  4.499281e-01  7.482910e-01  4.499281e-01  7.482910e-01  1.724417e-01  2.865617e-01  1.724417e-01  2.865617e-01
3863.83  3.232689e-03  2.709599e-16  8.381876e-14  3.232689e-03  2.709599e-16  1.127147e+02  2.403945e-18  4.807641e-01  5.991607e-01  4.807641e-01  5.991607e-01  1.826688e-01  2.274666e-01  1.826688e-01  2.274666e-01
3865.83  3.423981e-03  2.814182e-16  8.219037e-14  3.423981e-03  2.814182e-16  1.146253e+02  2.455115e-18  5.092130e-01  6.119142e-01  5.092130e-01  6.119142e-01  1.859523e-01  2.232609e-01  1.859523e-01  2.232609e-01
3867.83  3.763891e-03  3.072902e-16  8.164163e-14  3.763891e-03  3.072902e-16  1.123726e+02  2.734565e-18  5.597643e-01  6.815644e-01  5.597643e-01  6.815644e-01  1.882567e-01  2.289854e-01  1.882567e-01  2.289854e-01
3869.83  3.503079e-03  3.041030e-16  8.681020e-14  3.503079e-03  3.041030e-16  1.086400e+02  2.799180e-18  5.209765e-01  6.976691e-01  5.209765e-01  6.976691e-01  1.757415e-01  2.351164e-01  1.757415e-01  2.351164e-01
3871.82  2.569371e-03  2.213379e-16  8.614477e-14  2.569371e-03  2.213379e-16  9.645954e+01  2.294619e-18  3.821158e-01  5.719120e-01  3.821158e-01  5.719120e-01  1.692780e-01  2.532163e-01  1.692780e-01  2.532163e-01
3873.82  3.217038e-03  2.642402e-16  8.213774e-14  3.217038e-03  2.642402e-16  9.597874e+01  2.753112e-18  4.784365e-01  6.861871e-01  4.784365e-01  6.861871e-01  1.799843e-01  2.579370e-01  1.799843e-01  2.579370e-01
3875.82  3.059447e-03  2.491584e-16  8.143906e-14  3.059447e-03  2.491584e-16  1.146632e+02  2.172960e-18  4.549996e-01  5.415898e-01  4.549996e-01  5.415898e-01  1.794370e-01  2.134373e-01  1.794370e-01  2.134373e-01
3877.81  2.353739e-03  1.913499e-16  8.129612e-14  2.353739e-03  1.913499e-16  1.112250e+02  1.720385e-18  3.500471e-01  4.287898e-01  3.500471e-01  4.287898e-01  1.745085e-01  2.136742e-01  1.745085e-01  2.136742e-01
3879.81  2.698463e-03  2.177419e-16  8.069106e-14  2.698463e-03  2.177419e-16  9.728359e+01  2.238218e-18  4.013144e-01  5.578547e-01  4.013144e-01  5.578547e-01  1.785506e-01  2.480677e-01  1.785506e-01  2.480677e-01
3881.81  9.945478e-04  8.115717e-17  8.160208e-14  9.945478e-04  8.115717e-17  1.024706e+02  7.920046e-19  1.479087e-01  1.973997e-01  1.479087e-01  1.973997e-01  1.645442e-01  2.195825e-01  1.645442e-01  2.195825e-01
3883.81  1.656751e-03  1.352293e-16  8.162319e-14  1.656751e-03  1.352293e-16  9.705110e+01  1.393382e-18  2.463913e-01  3.472874e-01  2.463913e-01  3.472874e-01  1.691583e-01  2.383690e-01  1.691583e-01  2.383690e-01
3885.80  2.751365e-03  2.407551e-16  8.750386e-14  2.751365e-03  2.407551e-16  1.071297e+02  2.247323e-18  4.091819e-01  5.601241e-01  4.091819e-01  5.601241e-01  1.658207e-01  2.268174e-01  1.658207e-01  2.268174e-01
