target,const,baseline_passes,highcov_passes,delta_passes,baseline_peak_el,highcov_peak_el,delta_peak_el,baseline_samples,highcov_samples,delta_samples,new_in_highcov
STARLINK-33677,STARLINK,0,9,9,0.0,39.87,39.87,0,9,9,1
STARLINK-32717,STARLINK,0,9,9,0.0,39.64,39.64,0,9,9,1
STARLINK-30988,STARLINK,0,9,9,0.0,39.63,39.63,0,9,9,1
STARLINK-31584,STARLINK,0,9,9,0.0,39.57,39.57,0,9,9,1
STARLINK-5659,STARLINK,0,9,9,0.0,39.52,39.52,0,9,9,1
STARLINK-30252,STARLINK,0,9,9,0.0,39.46,39.46,0,9,9,1
STARLINK-30441,STARLINK,0,9,9,0.0,39.14,39.14,0,9,9,1
STARLINK-34183,STARLINK,0,9,9,0.0,39.14,39.14,0,9,9,1
STARLINK-3176,STARLINK,0,9,9,0.0,38.24,38.24,0,9,9,1
STARLINK-6169,STARLINK,0,9,9,0.0,38.18,38.18,0,9,9,1
STARLINK-30843,STARLINK,0,9,9,0.0,37.88,37.88,0,9,9,1
STARLINK-31395,STARLINK,0,9,9,0.0,37.74,37.74,0,9,9,1
STARLINK-30174,STARLINK,0,9,9,0.0,37.71,37.71,0,9,9,1
STARLINK-33606,STARLINK,0,9,9,0.0,37.71,37.71,0,9,9,1
STARLINK-30917,STARLINK,0,9,9,0.0,37.6,37.6,0,9,9,1
STARLINK-6247,STARLINK,0,9,9,0.0,37.39,37.39,0,9,9,1
STARLINK-6213,STARLINK,0,9,9,0.0,37.16,37.16,0,9,9,1
STARLINK-4649,STARLINK,0,9,9,0.0,36.96,36.96,0,9,9,1
STARLINK-5655,STARLINK,0,9,9,0.0,36.94,36.94,0,9,9,1
STARLINK-30245,STARLINK,0,9,9,0.0,36.75,36.75,0,9,9,1
STARLINK-4789,STARLINK,0,9,9,0.0,36.73,36.73,0,9,9,1
STARLINK-30248,STARLINK,0,9,9,0.0,36.29,36.29,0,9,9,1
STARLINK-6139,STARLINK,0,9,9,0.0,36.21,36.21,0,9,9,1
STARLINK-5844,STARLINK,0,9,9,0.0,36.08,36.08,0,9,9,1
STARLINK-32742,STARLINK,0,9,9,0.0,35.98,35.98,0,9,9,1
STARLINK-4548,STARLINK,0,9,9,0.0,35.96,35.96,0,9,9,1
STARLINK-4753,STARLINK,0,9,9,0.0,35.69,35.69,0,9,9,1
STARLINK-6253,STARLINK,0,9,9,0.0,35.69,35.69,0,9,9,1
STARLINK-31009,STARLINK,0,9,9,0.0,35.65,35.65,0,9,9,1
STARLINK-4215,STARLINK,0,9,9,0.0,35.49,35.49,0,9,9,1
STARLINK-30309,STARLINK,0,9,9,0.0,35.36,35.36,0,9,9,1
STARLINK-30127,STARLINK,0,9,9,0.0,35.34,35.34,0,9,9,1
STARLINK-6257,STARLINK,0,9,9,0.0,35.3,35.3,0,9,9,1
STARLINK-6128,STARLINK,0,9,9,0.0,35.27,35.27,0,9,9,1
STARLINK-31503,STARLINK,0,9,9,0.0,35.22,35.22,0,9,9,1
STARLINK-35499,STARLINK,0,9,9,0.0,35.22,35.22,0,9,9,1
STARLINK-5649,STARLINK,0,9,9,0.0,34.91,34.91,0,9,9,1
STARLINK-6194,STARLINK,0,9,9,0.0,34.75,34.75,0,9,9,1
STARLINK-6240,STARLINK,0,9,9,0.0,34.62,34.62,0,9,9,1
STARLINK-5586,STARLINK,0,9,9,0.0,34.4,34.4,0,9,9,1
STARLINK-34211,STARLINK,0,9,9,0.0,34.33,34.33,0,9,9,1
STARLINK-5635,STARLINK,0,9,9,0.0,34.14,34.14,0,9,9,1
STARLINK-3941,STARLINK,0,9,9,0.0,34.02,34.02,0,9,9,1
STARLINK-6202,STARLINK,0,9,9,0.0,34.02,34.02,0,9,9,1
STARLINK-30358,STARLINK,0,9,9,0.0,33.64,33.64,0,9,9,1
STARLINK-6184,STARLINK,0,9,9,0.0,33.53,33.53,0,9,9,1
STARLINK-35567,STARLINK,0,9,9,0.0,33.34,33.34,0,9,9,1
STARLINK-32788,STARLINK,0,9,9,0.0,33.28,33.28,0,9,9,1
STARLINK-30860,STARLINK,0,9,9,0.0,33.24,33.24,0,9,9,1
STARLINK-32757,STARLINK,0,9,9,0.0,33.22,33.22,0,9,9,1
STARLINK-30131,STARLINK,0,9,9,0.0,33.21,33.21,0,9,9,1
STARLINK-6098,STARLINK,0,9,9,0.0,33.14,33.14,0,9,9,1
STARLINK-32760,STARLINK,0,9,9,0.0,32.57,32.57,0,9,9,1
STARLINK-31453,STARLINK,0,9,9,0.0,32.51,32.51,0,9,9,1
STARLINK-3724,STARLINK,0,9,9,0.0,32.5,32.5,0,9,9,1
STARLINK-6245,STARLINK,0,9,9,0.0,32.32,32.32,0,9,9,1
STARLINK-6183,STARLINK,0,9,9,0.0,32.28,32.28,0,9,9,1
STARLINK-2251,STARLINK,0,9,9,0.0,32.21,32.21,0,9,9,1
STARLINK-30323,STARLINK,0,9,9,0.0,32.03,32.03,0,9,9,1
STARLINK-4780,STARLINK,0,9,9,0.0,31.8,31.8,0,9,9,1
STARLINK-5661,STARLINK,0,9,9,0.0,31.64,31.64,0,9,9,1
STARLINK-4138,STARLINK,0,9,9,0.0,31.58,31.58,0,9,9,1
STARLINK-31290,STARLINK,0,9,9,0.0,31.49,31.49,0,9,9,1
STARLINK-35654,STARLINK,0,9,9,0.0,31.41,31.41,0,9,9,1
STARLINK-5675,STARLINK,0,9,9,0.0,31.34,31.34,0,9,9,1
STARLINK-30591,STARLINK,0,9,9,0.0,31.28,31.28,0,9,9,1
STARLINK-31567,STARLINK,0,9,9,0.0,31.28,31.28,0,9,9,1
STARLINK-6216,STARLINK,0,9,9,0.0,31.02,31.02,0,9,9,1
STARLINK-35969,STARLINK,0,9,9,0.0,30.94,30.94,0,9,9,1
STARLINK-4754,STARLINK,0,9,9,0.0,30.85,30.85,0,9,9,1
STARLINK-4286,STARLINK,0,9,9,0.0,30.81,30.81,0,9,9,1
STARLINK-30328,STARLINK,0,9,9,0.0,30.65,30.65,0,9,9,1
STARLINK-6130,STARLINK,0,9,9,0.0,30.63,30.63,0,9,9,1
STARLINK-32303,STARLINK,0,9,9,0.0,30.57,30.57,0,9,9,1
STARLINK-4703,STARLINK,0,9,9,0.0,30.54,30.54,0,9,9,1
STARLINK-3561,STARLINK,0,9,9,0.0,30.32,30.32,0,9,9,1
STARLINK-4526,STARLINK,0,9,9,0.0,30.24,30.24,0,9,9,1
STARLINK-5000,STARLINK,0,9,9,0.0,30.01,30.01,0,9,9,1
STARLINK-6110,STARLINK,0,9,9,0.0,29.8,29.8,0,9,9,1
STARLINK-5663,STARLINK,0,9,9,0.0,29.79,29.79,0,9,9,1
STARLINK-4271,STARLINK,0,9,9,0.0,29.7,29.7,0,9,9,1
STARLINK-35932,STARLINK,0,9,9,0.0,29.66,29.66,0,9,9,1
STARLINK-3994,STARLINK,0,9,9,0.0,29.56,29.56,0,9,9,1
STARLINK-3354,STARLINK,0,9,9,0.0,29.4,29.4,0,9,9,1
STARLINK-3389,STARLINK,0,9,9,0.0,29.2,29.2,0,9,9,1
STARLINK-3736,STARLINK,0,9,9,0.0,29.2,29.2,0,9,9,1
STARLINK-4742,STARLINK,0,9,9,0.0,29.09,29.09,0,9,9,1
STARLINK-2505,STARLINK,0,9,9,0.0,29.01,29.01,0,9,9,1
STARLINK-32708,STARLINK,0,9,9,0.0,28.97,28.97,0,9,9,1
STARLINK-3742,STARLINK,0,9,9,0.0,28.52,28.52,0,9,9,1
STARLINK-30393,STARLINK,0,9,9,0.0,28.5,28.5,0,9,9,1
STARLINK-32764,STARLINK,0,9,9,0.0,28.32,28.32,0,9,9,1
STARLINK-30052,STARLINK,0,9,9,0.0,28.22,28.22,0,9,9,1
STARLINK-4263,STARLINK,0,9,9,0.0,28.15,28.15,0,9,9,1
STARLINK-31952,STARLINK,0,9,9,0.0,27.93,27.93,0,9,9,1
STARLINK-3779,STARLINK,0,9,9,0.0,27.51,27.51,0,9,9,1
STARLINK-5609,STARLINK,0,9,9,0.0,27.46,27.46,0,9,9,1
STARLINK-3716,STARLINK,0,9,9,0.0,27.45,27.45,0,9,9,1
STARLINK-35697,STARLINK,0,9,9,0.0,27.43,27.43,0,9,9,1
STARLINK-4755,STARLINK,0,9,9,0.0,27.41,27.41,0,9,9,1
STARLINK-4123,STARLINK,0,9,9,0.0,27.38,27.38,0,9,9,1
STARLINK-31563,STARLINK,0,9,9,0.0,27.3,27.3,0,9,9,1
STARLINK-6208,STARLINK,0,9,9,0.0,27.23,27.23,0,9,9,1
STARLINK-4285,STARLINK,0,9,9,0.0,27.21,27.21,0,9,9,1
STARLINK-32609,STARLINK,0,9,9,0.0,27.04,27.04,0,9,9,1
STARLINK-6118,STARLINK,0,9,9,0.0,27.04,27.04,0,9,9,1
STARLINK-2469,STARLINK,0,9,9,0.0,26.72,26.72,0,9,9,1
STARLINK-6111,STARLINK,0,9,9,0.0,26.68,26.68,0,9,9,1
STARLINK-2235,STARLINK,0,9,9,0.0,26.57,26.57,0,9,9,1
STARLINK-4013,STARLINK,0,9,9,0.0,26.55,26.55,0,9,9,1
STARLINK-6144,STARLINK,0,9,9,0.0,26.42,26.42,0,9,9,1
STARLINK-32332,STARLINK,0,9,9,0.0,26.39,26.39,0,9,9,1
STARLINK-4160,STARLINK,0,9,9,0.0,26.28,26.28,0,9,9,1
STARLINK-3172,STARLINK,0,9,9,0.0,26.21,26.21,0,9,9,1
STARLINK-32783,STARLINK,0,9,9,0.0,26.03,26.03,0,9,9,1
STARLINK-3743,STARLINK,0,9,9,0.0,26.01,26.01,0,9,9,1
STARLINK-4800,STARLINK,0,9,9,0.0,25.97,25.97,0,9,9,1
STARLINK-31551,STARLINK,0,9,9,0.0,25.94,25.94,0,9,9,1
STARLINK-4790,STARLINK,0,9,9,0.0,25.79,25.79,0,9,9,1
STARLINK-2273,STARLINK,0,9,9,0.0,25.65,25.65,0,9,9,1
STARLINK-2523,STARLINK,0,9,9,0.0,25.4,25.4,0,9,9,1
STARLINK-3253,STARLINK,0,9,9,0.0,25.13,25.13,0,9,9,1
STARLINK-30880,STARLINK,0,9,9,0.0,25.12,25.12,0,9,9,1
STARLINK-4718,STARLINK,0,9,9,0.0,25.07,25.07,0,9,9,1
STARLINK-6099,STARLINK,0,9,9,0.0,25.05,25.05,0,9,9,1
STARLINK-2515,STARLINK,0,9,9,0.0,24.95,24.95,0,9,9,1
STARLINK-31058,STARLINK,0,9,9,0.0,24.8,24.8,0,9,9,1
STARLINK-31927,STARLINK,0,9,9,0.0,24.79,24.79,0,9,9,1
STARLINK-32544,STARLINK,0,9,9,0.0,24.79,24.79,0,9,9,1
STARLINK-31950,STARLINK,0,9,9,0.0,24.63,24.63,0,9,9,1
STARLINK-3790,STARLINK,0,9,9,0.0,24.57,24.57,0,9,9,1
STARLINK-4281,STARLINK,0,9,9,0.0,24.51,24.51,0,9,9,1
STARLINK-4256,STARLINK,0,9,9,0.0,24.29,24.29,0,9,9,1
STARLINK-4739,STARLINK,0,9,9,0.0,24.27,24.27,0,9,9,1
STARLINK-4269,STARLINK,0,9,9,0.0,24.23,24.23,0,9,9,1
STARLINK-35928,STARLINK,0,9,9,0.0,24.18,24.18,0,9,9,1
STARLINK-2519,STARLINK,0,9,9,0.0,23.83,23.83,0,9,9,1
STARLINK-3979,STARLINK,0,9,9,0.0,23.8,23.8,0,9,9,1
STARLINK-1552,STARLINK,0,9,9,0.0,23.7,23.7,0,9,9,1
STARLINK-4793,STARLINK,0,9,9,0.0,23.65,23.65,0,9,9,1
STARLINK-34698,STARLINK,0,9,9,0.0,23.36,23.36,0,9,9,1
STARLINK-35219,STARLINK,0,9,9,0.0,23.05,23.05,0,9,9,1
STARLINK-32769,STARLINK,0,9,9,0.0,23.02,23.02,0,9,9,1
STARLINK-5849,STARLINK,0,9,9,0.0,23.01,23.01,0,9,9,1
STARLINK-3928,STARLINK,0,9,9,0.0,22.98,22.98,0,9,9,1
STARLINK-31896,STARLINK,0,9,9,0.0,22.75,22.75,0,9,9,1
STARLINK-31124,STARLINK,0,9,9,0.0,22.74,22.74,0,9,9,1
STARLINK-4282,STARLINK,0,9,9,0.0,22.57,22.57,0,9,9,1
STARLINK-4719,STARLINK,0,9,9,0.0,22.24,22.24,0,9,9,1
STARLINK-5841,STARLINK,0,9,9,0.0,22.09,22.09,0,9,9,1
STARLINK-35728,STARLINK,0,9,9,0.0,21.97,21.97,0,9,9,1
STARLINK-31919,STARLINK,0,9,9,0.0,21.63,21.63,0,9,9,1
STARLINK-3534,STARLINK,0,9,9,0.0,21.49,21.49,0,9,9,1
STARLINK-1579,STARLINK,0,9,9,0.0,21.24,21.24,0,9,9,1
STARLINK-4216,STARLINK,0,9,9,0.0,21.07,21.07,0,9,9,1
STARLINK-3173,STARLINK,0,9,9,0.0,20.87,20.87,0,9,9,1
STARLINK-4016,STARLINK,0,9,9,0.0,20.7,20.7,0,9,9,1
STARLINK-34872,STARLINK,0,9,9,0.0,20.53,20.53,0,9,9,1
STARLINK-33952,STARLINK,0,9,9,0.0,20.46,20.46,0,9,9,1
STARLINK-4712,STARLINK,0,9,9,0.0,20.39,20.39,0,9,9,1
STARLINK-4485,STARLINK,0,9,9,0.0,20.37,20.37,0,9,9,1
STARLINK-3782,STARLINK,0,9,9,0.0,20.24,20.24,0,9,9,1
STARLINK-4625,STARLINK,0,9,9,0.0,20.18,20.18,0,9,9,1
STARLINK-4557,STARLINK,0,9,9,0.0,20.1,20.1,0,9,9,1
STARLINK-4709,STARLINK,0,9,9,0.0,20.07,20.07,0,9,9,1
STARLINK-5908,STARLINK,0,9,9,0.0,19.86,19.86,0,9,9,1
STARLINK-5854,STARLINK,0,9,9,0.0,19.45,19.45,0,9,9,1
STARLINK-5006,STARLINK,0,9,9,0.0,18.7,18.7,0,9,9,1
STARLINK-30482,STARLINK,0,8,8,0.0,81.45,81.45,0,8,8,1
STARLINK-30990,STARLINK,0,8,8,0.0,78.73,78.73,0,8,8,1
STARLINK-32931,STARLINK,0,8,8,0.0,76.35,76.35,0,8,8,1
STARLINK-5547,STARLINK,0,8,8,0.0,74.63,74.63,0,8,8,1
STARLINK-5027,STARLINK,0,8,8,0.0,73.89,73.89,0,8,8,1
STARLINK-32938,STARLINK,0,8,8,0.0,73.65,73.65,0,8,8,1
STARLINK-32781,STARLINK,0,8,8,0.0,73.58,73.58,0,8,8,1
STARLINK-34044,STARLINK,0,8,8,0.0,73.57,73.57,0,8,8,1
STARLINK-32804,STARLINK,0,8,8,0.0,72.85,72.85,0,8,8,1
STARLINK-6149,STARLINK,0,8,8,0.0,72.68,72.68,0,8,8,1
STARLINK-6146,STARLINK,0,8,8,0.0,71.61,71.61,0,8,8,1
STARLINK-30557,STARLINK,0,8,8,0.0,68.95,68.95,0,8,8,1
STARLINK-5733,STARLINK,0,8,8,0.0,68.72,68.72,0,8,8,1
STARLINK-6185,STARLINK,0,8,8,0.0,68.53,68.53,0,8,8,1
STARLINK-30877,STARLINK,0,8,8,0.0,68.42,68.42,0,8,8,1
STARLINK-5746,STARLINK,0,8,8,0.0,66.58,66.58,0,8,8,1
STARLINK-6225,STARLINK,0,8,8,0.0,64.81,64.81,0,8,8,1
STARLINK-6259,STARLINK,0,8,8,0.0,64.06,64.06,0,8,8,1
STARLINK-5937,STARLINK,0,8,8,0.0,63.2,63.2,0,8,8,1
STARLINK-34133,STARLINK,0,8,8,0.0,63.05,63.05,0,8,8,1
STARLINK-30080,STARLINK,0,8,8,0.0,62.19,62.19,0,8,8,1
STARLINK-5639,STARLINK,0,8,8,0.0,61.77,61.77,0,8,8,1
STARLINK-5652,STARLINK,0,8,8,0.0,61.21,61.21,0,8,8,1
STARLINK-32768,STARLINK,0,8,8,0.0,60.82,60.82,0,8,8,1
STARLINK-5691,STARLINK,0,8,8,0.0,60.6,60.6,0,8,8,1
STARLINK-6262,STARLINK,0,8,8,0.0,59.78,59.78,0,8,8,1
STARLINK-6211,STARLINK,0,8,8,0.0,59.42,59.42,0,8,8,1
STARLINK-32694,STARLINK,0,8,8,0.0,59.36,59.36,0,8,8,1
STARLINK-6175,STARLINK,0,8,8,0.0,59.33,59.33,0,8,8,1
STARLINK-6227,STARLINK,0,8,8,0.0,59.23,59.23,0,8,8,1
STARLINK-5947,STARLINK,0,8,8,0.0,59.11,59.11,0,8,8,1
STARLINK-30583,STARLINK,0,8,8,0.0,58.84,58.84,0,8,8,1
STARLINK-6163,STARLINK,0,8,8,0.0,58.82,58.82,0,8,8,1
STARLINK-30075,STARLINK,0,8,8,0.0,58.81,58.81,0,8,8,1
STARLINK-32099,STARLINK,0,8,8,0.0,58.21,58.21,0,8,8,1
STARLINK-5061,STARLINK,0,8,8,0.0,57.6,57.6,0,8,8,1
STARLINK-32797,STARLINK,0,8,8,0.0,57.1,57.1,0,8,8,1
STARLINK-30141,STARLINK,0,8,8,0.0,56.95,56.95,0,8,8,1
STARLINK-35568,STARLINK,0,8,8,0.0,56.88,56.88,0,8,8,1
STARLINK-31137,STARLINK,0,8,8,0.0,56.47,56.47,0,8,8,1
STARLINK-5100,STARLINK,0,8,8,0.0,56.25,56.25,0,8,8,1
STARLINK-35682,STARLINK,0,8,8,0.0,55.47,55.47,0,8,8,1
STARLINK-32766,STARLINK,0,8,8,0.0,54.96,54.96,0,8,8,1
STARLINK-35937,STARLINK,0,8,8,0.0,54.68,54.68,0,8,8,1
STARLINK-35371,STARLINK,0,8,8,0.0,54.53,54.53,0,8,8,1
STARLINK-30500,STARLINK,0,8,8,0.0,54.18,54.18,0,8,8,1
STARLINK-31344,STARLINK,0,8,8,0.0,54.18,54.18,0,8,8,1
STARLINK-33694,STARLINK,0,8,8,0.0,54.06,54.06,0,8,8,1
STARLINK-5838,STARLINK,0,8,8,0.0,53.97,53.97,0,8,8,1
STARLINK-4738,STARLINK,0,8,8,0.0,53.88,53.88,0,8,8,1
STARLINK-6152,STARLINK,0,8,8,0.0,53.8,53.8,0,8,8,1
STARLINK-34254,STARLINK,0,8,8,0.0,53.7,53.7,0,8,8,1
STARLINK-33649,STARLINK,0,8,8,0.0,53.08,53.08,0,8,8,1
STARLINK-31322,STARLINK,0,8,8,0.0,53.0,53.0,0,8,8,1
STARLINK-6254,STARLINK,0,8,8,0.0,52.52,52.52,0,8,8,1
STARLINK-30847,STARLINK,0,8,8,0.0,52.49,52.49,0,8,8,1
STARLINK-32729,STARLINK,0,8,8,0.0,52.45,52.45,0,8,8,1
STARLINK-30148,STARLINK,0,8,8,0.0,52.35,52.35,0,8,8,1
STARLINK-30853,STARLINK,0,8,8,0.0,52.16,52.16,0,8,8,1
STARLINK-30867,STARLINK,0,8,8,0.0,51.91,51.91,0,8,8,1
STARLINK-4767,STARLINK,0,8,8,0.0,51.66,51.66,0,8,8,1
STARLINK-30124,STARLINK,0,8,8,0.0,51.64,51.64,0,8,8,1
STARLINK-6121,STARLINK,0,8,8,0.0,51.64,51.64,0,8,8,1
STARLINK-3391,STARLINK,0,8,8,0.0,51.34,51.34,0,8,8,1
STARLINK-35818,STARLINK,0,8,8,0.0,51.02,51.02,0,8,8,1
STARLINK-5850,STARLINK,0,8,8,0.0,50.99,50.99,0,8,8,1
STARLINK-31590,STARLINK,0,8,8,0.0,50.93,50.93,0,8,8,1
STARLINK-30774,STARLINK,0,8,8,0.0,50.89,50.89,0,8,8,1
STARLINK-5531,STARLINK,0,8,8,0.0,50.78,50.78,0,8,8,1
STARLINK-30848,STARLINK,0,8,8,0.0,50.59,50.59,0,8,8,1
STARLINK-30615,STARLINK,0,8,8,0.0,50.07,50.07,0,8,8,1
STARLINK-33676,STARLINK,0,8,8,0.0,50.03,50.03,0,8,8,1
STARLINK-30331,STARLINK,0,8,8,0.0,49.79,49.79,0,8,8,1
STARLINK-5357,STARLINK,0,8,8,0.0,49.77,49.77,0,8,8,1
STARLINK-6232,STARLINK,0,8,8,0.0,49.7,49.7,0,8,8,1
STARLINK-30138,STARLINK,0,8,8,0.0,49.55,49.55,0,8,8,1
STARLINK-31002,STARLINK,0,8,8,0.0,49.48,49.48,0,8,8,1
